title,region,startYear,runtimeMinutes,genres,averageRating,numVotes,tconst,nconst,category,pname,byear,kftitles,Thriller,History,Comedy,Romance,Western,Sci-Fi,News,Family,Drama,Musical,Biography,Adventure,Horror,War,Animation,Action,Sport,Music,Documentary,Crime,Mystery,Fantasy,region_num,nconst_num,category_num
Mère incontrôlable à la fac,FR,2018.0,105.0,Comedy,5.5,36736,tt5619332,nm1094137,actress,Molly Gordon,1994,"tt0277027,tt6977338,tt1489887,tt0374536",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9714,0
Seule la terre,FR,2017.0,104.0,"Drama,Romance",7.6,29719,tt5635086,nm0428121,actress,Gemma Jones,1942,"tt1182350,tt0114388,tt1473832,tt0243155",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093,0
Le Rituel,FR,2017.0,94.0,"Horror,Mystery,Thriller",6.3,93500,tt5638642,nm1245863,actor,Rafe Spall,1983,"tt0454876,tt5638642,tt1596363,tt0425112",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8689,2
Une femme fantastique,FR,2017.0,104.0,Drama,7.2,25009,tt5639354,nm6061529,actress,Daniela Vega,1989,"tt9138156,tt5639354,tt14985828,tt3308106",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9720,0
ARQ,FR,2016.0,88.0,"Action,Sci-Fi,Thriller",6.3,38626,tt5640450,nm0072648,actor,Shaun Benson,1976,"tt0056758,tt2070776,tt1190634,tt5640450",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8940,2
Pur-sang,FR,2017.0,92.0,"Comedy,Crime,Drama",6.6,40896,tt5649108,nm4972453,actress,Olivia Cooke,1993,"tt5363618,tt5649108,tt1677720,tt2582496",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7383,0
The Florida Project,FR,2017.0,111.0,Drama,7.6,110147,tt5649144,nm0000353,actor,Willem Dafoe,1955,"tt0145487,tt6938828,tt7984734,tt5649144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,2
Very Bad Dads 2,FR,2017.0,100.0,Comedy,6.0,71316,tt5657846,nm0000154,actor,Mel Gibson,1956,"tt0117438,tt0104714,tt0112573,tt0118883",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2
Section 99,FR,2017.0,132.0,"Action,Crime,Drama",7.1,64959,tt5657856,nm1358539,actress,Jennifer Carpenter,1979,"tt1082868,tt5657856,tt0404032,tt0773262",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7058,0
Chair de poule 2 : Les Fantômes d'Halloween,FR,2018.0,90.0,"Adventure,Comedy,Fantasy",5.6,20555,tt5664636,nm1018488,actress,Wendi McLendon-Covey,1969,"tt1086772,tt2712740,tt0370194,tt1478338",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7075,0
Les bonnes soeurs,FR,2017.0,90.0,"Comedy,Romance",5.8,22330,tt5666304,nm2201555,actress,Aubrey Plaza,1984,"tt5962210,tt1758795,tt1862079,tt1860213",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8240,0
Traffik,FR,2018.0,96.0,Thriller,5.9,20050,tt5670152,nm1745736,actress,Paula Patton,1975,"tt1229238,tt0453467,tt0803096,tt0929632",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5915,0
Sorry to Bother You,FR,2018.0,112.0,"Comedy,Drama,Fantasy",6.9,75023,tt5688932,nm3147751,actor,LaKeith Stanfield,1991,"tt2370248,tt5688932,tt8946378,tt1020072",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7465,2
Slender Man,FR,2018.0,93.0,"Horror,Mystery,Thriller",3.2,33210,tt5690360,nm1428821,actress,Joey King,1999,"tt8851148,tt3799232,tt8682948,tt1457767",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8974,0
Under the Silver Lake,FR,2018.0,139.0,"Crime,Drama,Mystery",6.5,40609,tt5691670,nm1940449,actor,Andrew Garfield,1983,"tt1872181,tt2119532,tt0948470,tt1285016",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6222,2
Cats,FR,2019.0,110.0,"Comedy,Drama,Family",2.8,49695,tt5697572,nm0252961,actor,Idris Elba,1972,"tt3501632,tt1663662,tt1365050,tt0480255",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5859,2
