|tconst|nconst|name|french_title|byear|job|startyear|runtimeminutes|averagerating|numvotes|wr_score|genres|original_lang
1109966|tt0290673|nm0243355|Albert Dupontel|Irréversible|1964.0|actor,writer,director|2002.0|97.0|7.3|130890|7.299445508921138|Crime,Drama,Mystery|fr
1109978|tt0290673|nm0637615|Gaspar Noé|Irréversible|1963.0|director,producer,writer|2002.0|97.0|7.3|130890|7.299445508921138|Crime,Drama,Mystery|fr
1111475|tt7740496|nm0868219|Guillermo del Toro|Nightmare Alley|1964.0|writer,producer,director|2021.0|150.0|7.1|103331|7.0994195768589075|Crime,Drama,Thriller|en
1116925|tt1355630|nm1631269|Chloë Grace Moretz|Si je reste|1997.0|actress,soundtrack|2014.0|107.0|6.7|121611|6.699713888996415|Drama,Fantasy,Music|en
1120643|tt7713068|nm3053338|Margot Robbie|Birds of Prey et la fantabuleuse histoire de Harley Quinn|1990.0|actress,producer,executive|2020.0|109.0|6.0|225986|6.000041087241041|Action,Adventure,Comedy|en
1124256|tt2582846|nm0940362|Shailene Woodley|Nos étoiles contraires|1991.0|actress,producer,soundtrack|2014.0|126.0|7.7|367254|7.699733711561811|Drama,Romance|en
1128737|tt0094709|nm0729626|Jacques Rivette|La Bande des quatre|1928.0|director,writer,actor|1989.0|160.0|6.8|1001|6.761360648261145|Drama,Mystery|fr
1128879|tt0113828|nm0320760|Annie Girardot|Les Misérables|1931.0|actress,soundtrack,producer|1995.0|175.0|7.5|3809|7.477992698799033|Drama,History|fr
1133713|tt2132285|nm0914612|Emma Watson|The Bling Ring|1990.0|actress,soundtrack,producer|2013.0|90.0|5.6|87120|5.60039557860764|Biography,Crime,Drama|en
1134041|tt0087821|nm0006445|Éric Rohmer|Les Nuits de la pleine lune|1920.0|director,writer,actor|1984.0|101.0|7.3|4630|7.284527536703571|Comedy,Drama,Romance|fr
